identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:1019:LOC;BROSSOLETTE;TRAM;TOURCOING CENTRE;2022-03-10T18:55:55+01:00;2022-03-10T18:48:05+01:00;TRANSPOLE:ItemId::268440594:LOC;TOURCOING CENTRE/BROSSOLETTE/2022-03-10T18:55:55.000+01:00
TRANSPOLE:StopPointRef:BP:1019:LOC;BROSSOLETTE;TRAM;TOURCOING CENTRE;2022-03-10T19:06:13+01:00;2022-03-10T18:30:00+01:00;TRANSPOLE:ItemId::268444508:LOC;TOURCOING CENTRE/BROSSOLETTE/2022-03-10T19:06:13.000+01:00
TRANSPOLE:StopPointRef:BP:3210:LOC;BUISSON;TRAM;TOURCOING CENTRE;2022-03-10T18:54:46+01:00;2022-03-10T18:48:35+01:00;TRANSPOLE:ItemId::268440593:LOC;TOURCOING CENTRE/BUISSON/2022-03-10T18:54:46.000+01:00
TRANSPOLE:StopPointRef:BP:3210:LOC;BUISSON;TRAM;TOURCOING CENTRE;2022-03-10T19:04:35+01:00;2022-03-10T18:44:15+01:00;TRANSPOLE:ItemId::268444507:LOC;TOURCOING CENTRE/BUISSON/2022-03-10T19:04:35.000+01:00
TRANSPOLE:StopPointRef:BP:4865:LOC;CARTELOT;TRAM;TOURCOING CENTRE;2022-03-10T18:55:44+01:00;2022-03-10T18:48:50+01:00;TRANSPOLE:ItemId::268442525:LOC;TOURCOING CENTRE/CARTELOT/2022-03-10T18:55:44.000+01:00
TRANSPOLE:StopPointRef:BP:4865:LOC;CARTELOT;TRAM;TOURCOING CENTRE;2022-03-10T19:05:28+01:00;2022-03-10T18:48:45+01:00;TRANSPOLE:ItemId::268440601:LOC;TOURCOING CENTRE/CARTELOT/2022-03-10T19:05:28.000+01:00
TRANSPOLE:StopPointRef:BP:4865:LOC;CARTELOT;TRAM;TOURCOING CENTRE;2022-03-10T19:15:13+01:00;2022-03-10T18:44:30+01:00;TRANSPOLE:ItemId::268444515:LOC;TOURCOING CENTRE/CARTELOT/2022-03-10T19:15:13.000+01:00
TRANSPOLE:StopPointRef:BP:3171:LOC;CERISAIE;TRAM;TOURCOING CENTRE;2022-03-10T18:53:55+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268442523:LOC;TOURCOING CENTRE/CERISAIE/2022-03-10T18:53:55.000+01:00
TRANSPOLE:StopPointRef:BP:3171:LOC;CERISAIE;TRAM;TOURCOING CENTRE;2022-03-10T19:02:35+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268440599:LOC;TOURCOING CENTRE/CERISAIE/2022-03-10T19:02:35.000+01:00
TRANSPOLE:StopPointRef:BP:3171:LOC;CERISAIE;TRAM;TOURCOING CENTRE;2022-03-10T19:12:42+01:00;2022-03-10T18:44:30+01:00;TRANSPOLE:ItemId::268444513:LOC;TOURCOING CENTRE/CERISAIE/2022-03-10T19:12:42.000+01:00
